sector_name_vi,Growth_norm,Productivity_norm,Spillover_norm,Export_norm,Employment_norm,AIReadiness_norm,Risk_inverted_norm
Nông-Lâm-Thủy sản,0.401617,0.0,0.080645,0.139223,1.0,0.0,1.0
Công nghiệp chế biến chế tạo,0.973944,0.116081,0.774194,1.0,0.868217,0.547945,0.351351
Xây dựng,0.777179,0.055092,0.193548,0.008594,0.348837,0.068493,0.810811
Khai khoáng,0.0,1.0,0.0,0.028188,0.0,0.205479,0.0
Bán buôn-bán lẻ,0.745732,0.035296,0.403226,0.018907,0.581395,0.452055,0.459459
Tài chính-Ngân hàng-Bảo hiểm,0.769093,0.816275,0.887097,0.004125,0.01938,0.780822,0.081081
Logistics-Vận tải-Kho bãi,1.0,0.183641,0.677419,0.010657,0.127907,0.369863,0.540541
Thông tin-Truyền thông-CNTT,0.813118,0.514194,1.0,0.611894,0.024806,1.0,0.72973
Giáo dục-Đào tạo,0.684636,0.086176,0.564516,0.0,0.143411,0.315068,0.891892
Y tế-Chăm sóc sức khỏe,0.72327,0.281105,0.483871,0.0,0.034884,0.410959,1.0
