solution_id,GDP_gain,Inequality_MAD,Emission,Net_security_risk,Total_budget,H_total,Max_digital_after,Min_digital_after,C1_total_budget,C2_region_floor,C3_region_cap,C4_H_floor,C5_fairness,TOPSIS_score,TOPSIS_rank
0,49042.24826670713,0.2565022528783255,4920.890161611179,-274.8470293897044,49819.71832715595,13917.92574466865,82.00011659915418,55.785932820776,0.0,0.0,0.0,0.0,0.0,0.13068298763768155,99
1,43892.50866033963,0.28080629150154074,905.9669637089778,-4638.304699277384,46850.60509026653,18388.721843723593,82.00010989128596,55.7761207894333,0.0,0.0,0.0,0.0,0.0,0.7150086909140381,34
2,47290.1893601259,0.25474424646660515,1271.6799160704716,-5215.718407863909,49822.48758430465,20637.073257174474,82.00011467778833,55.77558883877385,0.0,0.0,0.0,0.0,0.0,0.7761534292438185,23
3,47016.18486223617,0.17443888951978384,4664.619162206925,-1876.8595132803805,49932.5229914868,13774.379302597612,82.00011109586904,55.78557220659782,0.0,0.0,0.0,0.0,0.0,0.3385291981763071,69
4,49282.10592365972,0.2527549074842743,5071.2688077391,-296.9335038341833,49977.45430306361,14009.578820134824,82.00011436457831,55.785932820776,0.0,0.0,0.0,0.0,0.0,0.1356648085464876,96
5,47455.25248209053,0.18198448308013868,3451.0082618869396,-2575.9114279543337,49692.297829378265,16284.030965330297,82.00011472731275,55.774719285832205,0.0,0.0,0.0,0.0,0.0,0.4803313897617348,68
6,45003.64510879632,0.225216131755704,1189.451810152183,-4533.068089176572,48461.7422732474,18159.15016352231,82.00011645365137,55.77592962464753,0.0,0.0,0.0,0.0,0.0,0.8059312099427857,13
7,47733.967111892984,0.19580309783601615,4566.99239623053,-1620.3975514505992,49911.48070088634,14551.469654034576,82.00011446367748,55.78564389137465,0.0,0.0,0.0,0.0,0.0,0.30050941340238474,72
8,48516.77121819304,0.23620963519350338,4695.5030719836905,-616.718784512771,49662.90555205368,14023.090201748013,82.00011442175949,55.78572171886955,0.0,0.0,0.0,0.0,0.0,0.1773758532390894,91
9,45765.223413449254,0.22532523584978895,1118.431308642474,-4752.163533249777,48806.65778604383,18761.780979203908,82.00001884931508,55.773948129813334,0.0,0.0,0.0,0.0,0.0,0.8253629837475552,4
10,44744.9749459287,0.20363216994590497,1211.7795861463826,-4329.297677975261,48284.231022145534,17541.764763194384,82.00011613982082,55.78475870245731,0.0,0.0,0.0,0.0,0.0,0.8251610447935931,5
11,48086.410847924344,0.2124077479846934,4069.9967008848,-1154.7949540316117,49729.624431902215,14336.08145299053,82.0000301324837,55.79001018915214,0.0,0.0,0.0,0.0,0.0,0.2922328123264503,78
12,47539.2786339101,0.17723766540510483,3139.5973782237984,-2345.089980788006,49726.63599979047,16079.370345098378,82.00011609697732,55.78539169822102,0.0,0.0,0.0,0.0,0.0,0.5047865934839004,67
13,47867.11359045196,0.17886671725554532,5022.744415625521,-944.213221043161,49975.5406679994,13552.959683822979,82.0001164424412,55.785624211302434,0.0,0.0,0.0,0.0,0.0,0.2760528477479083,82
14,46571.0789104186,0.18048750963113866,1407.5139571405828,-4315.680638011807,49984.19089401727,17766.003506590518,82.00011106731236,55.77592962464753,0.0,0.0,0.0,0.0,0.0,0.8481880977063107,2
15,47475.834166559274,0.18448621161204135,2705.2921576717326,-3050.5563233443454,49943.38107316214,17276.04563698444,82.00011603020133,55.77611526447485,0.0,0.0,0.0,0.0,0.0,0.598682710423497,51
16,48906.82754896591,0.23880147079492597,4854.101331719767,-485.24595154371855,49928.54596657623,13980.78305510217,82.00011442175949,55.785634034255054,0.0,0.0,0.0,0.0,0.0,0.1640545156033081,92
17,48139.812268783746,0.20786228500600878,4205.059772667928,-1263.648077744575,49917.376629791324,13993.427261454553,82.0001106351492,55.78546247471547,0.0,0.0,0.0,0.0,0.0,0.292223872459809,79
18,44182.08275133329,0.2322730118736915,1012.3833847595811,-4467.828106773806,47396.10831279479,17864.708208766333,82.00010962119669,55.7761207894333,0.0,0.0,0.0,0.0,0.0,0.7910585069516046,20
19,47271.98449989186,0.18094982441216,2940.9260710522112,-3037.2369355233877,49875.91176511036,16618.57162041493,82.00011103219606,55.786638243111256,0.0,0.0,0.0,0.0,0.0,0.5710968605616601,59
20,45886.58263125339,0.24164963909439977,1222.11716147287,-4776.678669935128,48812.10797545778,18982.962706409122,82.00011629994552,55.790717099459464,0.0,0.0,0.0,0.0,0.0,0.788509886673573,21
