strategy,year,A,K,L,D,AI,H,Y_plan,shock_factor,Y_effective,C,I_K,I_D,I_AI,I_H,share_K,share_D,share_AI,share_H,invest_share,consumption_share,welfare_term
Tối ưu SLSQP,2026,30.944377,27500.0,53.9,20.3,86.0,30.0,11796.05480330629,1.0,11796.05480330629,10710.120758153613,1085.9340451526457,2.312480472379015e-12,2.017248358692861e-11,8.880636224473471e-12,0.0920590878272515,1.960384646340279e-16,1.7101042614073402e-15,7.528479964321916e-16,0.09205908782725415,0.9079409121727459,9.278944438649342
Tối ưu SLSQP,2027,31.4262226629102,27210.934045152644,54.2234,17.864000000000004,73.10000000000005,29.400000000000006,11646.931714641702,1.0,11646.931714641702,11337.318354871368,309.6133597703266,0.0,3.212417671877173e-13,7.050192016710033e-12,0.026583255346221572,0.0,2.758166485889797e-17,6.053261227458755e-16,0.026583255346222204,0.9734167446537778,9.055779420493776
Tối ưu SLSQP,2028,31.904278583298996,26160.000702665337,54.54874039999999,15.720320000000005,62.13500000000004,28.81200000000001,11386.812064418693,1.0,11386.812064418693,11386.812064418678,0.0,0.0,0.0,1.4110808427162028e-11,0.0,0.0,0.0,1.239223792167013e-15,1.239223792167013e-15,0.9999999999999988,8.788204650595164
Tối ưu SLSQP,2029,32.37969033458514,24852.00066753207,54.87603284240001,13.833881600000003,52.81475000000003,28.23576000000002,11085.453465810844,1.0,11085.453465810844,11085.45346581082,0.0,1.0376317066649684e-11,6.765489326352671e-13,1.2343846981228881e-11,0.0,9.360300053265083e-16,6.103033445784088e-17,1.1135175497600623e-15,2.1105778895444116e-15,0.9999999999999979,8.500078705511493
Tối ưu SLSQP,2030,32.853468368866736,23609.400634155463,55.2052890394544,12.173815808000013,44.892537500000024,27.671044800000026,10789.207499165392,1.0,10789.207499165392,10789.207499165359,1.309356850244e-12,1.4473630768600844e-11,5.007478498663481e-12,1.209056563099343e-11,1.2135801914508425e-16,1.3414915571621423e-15,4.641192134872593e-16,1.1206166562213867e-15,3.0475854460158725e-15,0.999999999999997,8.221096044912821
Tối ưu SLSQP,2031,33.32650397047067,22428.93060244769,55.53652077369112,10.712957911040025,38.158656875000034,27.11762390400003,10498.460683794678,1.0,10498.460683794678,10498.460683794663,1.0123228329636522e-11,2.9835552417104234e-13,4.4082565750405e-12,1.3709014344108945e-13,9.642583455365642e-16,2.8418978091862653e-17,4.1989551685848973e-16,1.3058118477568855e-17,1.4256309589644852e-15,0.9999999999999986,7.95100453882375
Tối ưu SLSQP,2032,33.79958362672823,21307.484072325315,55.86973989833327,9.427402961715222,32.434858343750044,26.57527142592003,10213.504089811055,1.0,10213.504089811055,10213.504089811042,1.7141579491577575e-12,4.920226470901206e-12,0.0,6.95355696928202e-12,1.6783250235027504e-16,4.817373574863109e-16,0.0,6.808199133359977e-16,1.3303897731725835e-15,0.9999999999999987,7.689552787453486
Tối ưu SLSQP,2033,34.273401889039455,20242.10986870905,56.204958337723276,8.2961146063094,27.569629592187535,26.043765997401632,9934.549512749281,1.0,9934.549512749281,9934.549512749254,4.48160355322402e-12,7.63765058776916e-12,0.0,1.5571461632611015e-11,4.51112911307418e-16,7.68796871762283e-16,0.0,1.5674049047345056e-15,2.7873146878042063e-15,0.9999999999999972,7.43649134613011
Tối ưu SLSQP,2034,34.74857282230092,19230.0043752736,56.54218808774961,7.3005808535522805,23.434185153359405,25.52289067745361,9661.743094740783,1.0,9661.743094740783,9661.743094740757,5.445457411247445e-12,7.501121480449904e-12,2.1056947541092273e-12,1.08084104162336e-11,5.636102469140992e-16,7.763735184112917e-16,2.1794149704264325e-16,1.1186812058909936e-15,2.6766064682590275e-15,0.9999999999999973,7.19157369905707
Tối ưu SLSQP,2035,35.225640153857036,18268.50415650992,56.88144121627611,6.424511151126014,19.9190573803555,25.012432863904547,9395.17677047281,1.0,9395.17677047281,9395.176770472777,1.2562642989411053e-11,1.2515890859114497e-11,8.33929448005467e-12,0.0,1.3371374798282631e-15,1.3321612956181385e-15,8.876144306580193e-16,0.0,3.556913206104421e-15,0.9999999999999964,6.9545570259746965
