episode,epsilon,total_reward,steps,rolling_reward_100
1,1.0,-6.787325491494205,10,-6.787325491494205
2,0.9998,-2.815402388024092,10,-4.801363939759149
3,0.9996,-5.871061701592543,10,-5.15792986037028
4,0.9994,-5.850326633655057,10,-5.331029053691474
5,0.9992,-4.498275543199185,10,-5.164478351593017
6,0.999,-4.103252794731117,10,-4.987607425449366
7,0.9988,-2.431736528164484,10,-4.622483011551526
8,0.9986,-5.715090045072787,10,-4.759058890741684
9,0.9984,-8.894976878604538,10,-5.218605333837557
10,0.9982,-2.2546857086053578,10,-4.922213371314337
11,0.998,-4.639508927630647,10,-4.896512967343092
12,0.9978,-2.3174973297195343,10,-4.681594997541129
13,0.9976,-0.8892221015495347,10,-4.389874005541776
14,0.9974,-1.3729780306882922,10,-4.174381435909384
15,0.9972,-5.895173059662842,10,-4.289100877492948
16,0.997,-0.12016001880410276,10,-4.028542073824895
17,0.9968,-8.360047066135193,10,-4.283336485137266
18,0.9966,-0.6393197182933332,10,-4.080891109201492
19,0.9964,-1.7112496260914072,10,-3.9561731364062243
20,0.9962,-0.3507531110947132,10,-3.7759021351406483
21,0.996,-5.547418610768954,10,-3.86026006255152
22,0.9958,-9.781719309388631,10,-4.129417301044116
23,0.9956,-7.211923442978528,10,-4.263439307215178
24,0.9954,-4.954117858297953,10,-4.29221758017696
25,0.9952,-3.956589705329629,10,-4.278792465183066
26,0.995,-7.691281455365337,10,-4.410042041728539
27,0.9948,-4.161384269424851,10,-4.400832494606179
28,0.9946,-2.884441321193025,10,-4.346675666984281
29,0.9944,-0.5909901926433221,10,-4.217169271317352
30,0.9942,-8.654601125134981,10,-4.3650836664446055
31,0.994,-2.150398031595513,10,-4.2936421943527
32,0.9938,-4.82451076662225,10,-4.310231837236123
33,0.9936,-6.777224947276169,10,-4.3849892042070335
34,0.9934,-0.9230560961793899,10,-4.28316764220622
35,0.9932,-2.5226543813348625,10,-4.232867263324182
36,0.993,-6.469165519477238,10,-4.294986659328433
37,0.9928,-3.183302108627847,10,-4.2649411309311205
38,0.9926,-2.1360592847115933,10,-4.208917924451659
39,0.9924,-1.4959821717667476,10,-4.13935546925461
40,0.9922,-4.772040933104599,10,-4.15517260585086
41,0.992,-3.401250755116505,10,-4.13678426802807
42,0.9918,1.5171880988482087,10,-4.0021658783405405
43,0.9916,-7.837749380948396,10,-4.091365494680258
44,0.9914,-6.0958574661814175,10,-4.136922130396193
45,0.9912,-0.23548999379318608,10,-4.0502236384716825
46,0.991,-4.297855006125057,10,-4.055606929072843
47,0.9908,-3.911542777720518,10,-4.052541734363218
48,0.9906,-3.7104111994216904,10,-4.04541401488527
49,0.9904,-0.25619880450958876,10,-3.968083092224542
50,0.9902,-5.323652758763462,10,-3.99519448555532
51,0.99,-1.4879184855471508,10,-3.946032211045356
52,0.9898,-3.400918773375123,10,-3.9355492603209283
53,0.9896,-4.292263415753465,10,-3.9422797160838066
54,0.9894,-4.795927162634561,10,-3.958088002131043
55,0.9892,-2.750458487569332,10,-3.9361311018662843
56,0.989,-6.006061589132015,10,-3.9730941462817433
57,0.9888,-1.8398181785329428,10,-3.9356682521107125
58,0.9886,-5.058371126634742,10,-3.9550251982231956
59,0.9884,-1.426441880584223,10,-3.912167853856433
60,0.9882,-3.699119686153358,10,-3.9086170510613822
61,0.988,-2.404024619083429,10,-3.8839516013568254
62,0.9878,-1.7874193044325914,10,-3.8501365643096603
63,0.9876,0.4941863295458519,10,-3.7811790580579854
64,0.9874,-1.6279917783931865,10,-3.747535506813223
65,0.9872,-0.5613912412950846,10,-3.6985179027283284
66,0.987,-1.877918496886809,10,-3.670933063245881
67,0.9868,-5.161572551077603,10,-3.693181413810534
68,0.9866,-9.996232851879768,10,-3.7858733467233168
69,0.9864,-5.164513576880988,10,-3.805853639914008
70,0.9862,-5.376305688822995,10,-3.828288669184136
71,0.986,-5.413884358359318,10,-3.8506210028344907
72,0.9858,-3.7676359418310144,10,-3.849468432542776
73,0.9856,-2.1655574783424627,10,-3.8264011591975664
74,0.9854,-3.174034068539576,10,-3.8175853877021875
75,0.9852,-0.5680051230034702,10,-3.7742576508395382
76,0.985,-1.6402356828213827,10,-3.7461784144182464
77,0.9848,-2.4033621525850575,10,-3.7287392421866468
78,0.9846,0.39178759675970876,10,-3.6759119750206675
79,0.9844,-5.934008109661839,10,-3.7044954703958726
80,0.9842,-1.1260395737466071,10,-3.6722647716877566
81,0.984,-1.851874509547746,10,-3.6497908178341767
82,0.9838,-5.323878862698403,10,-3.6702065256983745
83,0.9836,-4.854431362932009,10,-3.6844742948216713
84,0.9834,-1.951384140192514,10,-3.6638422691713237
85,0.9832,1.040342020535053,10,-3.6084989245865433
86,0.983,-2.9644698790268174,10,-3.6010102147544534
87,0.9828,-2.321034390303974,10,-3.5862978489561717
88,0.9826,-1.3075497785907368,10,-3.5604029845202008
89,0.9824,-1.5643828909017332,10,-3.5379757924570723
90,0.9822,-2.4864140296069848,10,-3.526291772869849
91,0.982,-4.8263623465763335,10,-3.5405782626907993
92,0.9818,-4.7251153345443,10,-3.5534536656457285
93,0.9816,-5.261939586634336,10,-3.571824482000445
94,0.9814,-2.8872550971482958,10,-3.5645418289701025
95,0.9812,-3.027884848331168,10,-3.558892808121272
96,0.981,-0.5075842125320269,10,-3.5271083435838837
97,0.9808,-1.694239934927291,10,-3.5082127929791764
98,0.9806,-5.910534987659527,10,-3.5327262847616296
99,0.9804,2.1630254846628585,10,-3.4751934386058267
100,0.9802,-6.108812267559962,10,-3.5015296268953677
101,0.98,-2.5507858102781626,10,-3.4591642300832075
102,0.9798,-0.9737667164538262,10,-3.440747873367505
103,0.9796,-1.17780205076938,10,-3.3938152768592733
104,0.9794,-2.2378772795925137,10,-3.3576907833186476
105,0.9792,-8.353658976971307,10,-3.396244617656369
106,0.979,1.175671568646358,10,-3.3434553740225943
107,0.9788,-5.295267262255131,10,-3.3720906813635003
108,0.9786,-4.864230994729674,10,-3.3635820908600693
109,0.9784,-2.9264798663997205,10,-3.303897120738021
110,0.9782,-2.1143961457885885,10,-3.3024942251098537
111,0.978,-2.6610695117043033,10,-3.28270983095059
112,0.9778,-4.40198888450535,10,-3.3035547464984485
113,0.9776,-3.3024126192221224,10,-3.3276866516751737
114,0.9774,-1.0896431118357812,10,-3.324853302486649
