GDP growth,Digital index,AI capacity,Unemployment risk,state_code,action_code,Chính sách π*(s),Phân bổ,Q_max
Thấp,Thấp,Thấp,Thấp,0,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.725017295525119
Thấp,Thấp,Thấp,Trung bình,1,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,6.818992972694427
Thấp,Thấp,Thấp,Cao,2,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.445232348527516
Thấp,Thấp,Trung bình,Thấp,3,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.5544476496415394
Thấp,Thấp,Trung bình,Trung bình,4,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.9778927950796765
Thấp,Thấp,Trung bình,Cao,5,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.347868040225126
Thấp,Thấp,Cao,Thấp,6,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.490238460383486
Thấp,Thấp,Cao,Trung bình,7,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,3.832720775657391
Thấp,Thấp,Cao,Cao,8,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.28545286679137
Thấp,Trung bình,Thấp,Thấp,9,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.1911858159099156
Thấp,Trung bình,Thấp,Trung bình,10,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.371118232216143
Thấp,Trung bình,Thấp,Cao,11,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.622591411208463
Thấp,Trung bình,Trung bình,Thấp,12,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.1888265074882893
Thấp,Trung bình,Trung bình,Trung bình,13,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.477638020835692
Thấp,Trung bình,Trung bình,Cao,14,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.988769029773506
Thấp,Trung bình,Cao,Thấp,15,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.4847793291247664
Thấp,Trung bình,Cao,Trung bình,16,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.6388126889409267
Thấp,Trung bình,Cao,Cao,17,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.5244994891729418
Thấp,Cao,Thấp,Thấp,18,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.056755973510756
Thấp,Cao,Thấp,Trung bình,19,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.274261418837878
Thấp,Cao,Thấp,Cao,20,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.2929762048353313
Thấp,Cao,Trung bình,Thấp,21,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,0.8756178158060298
Thấp,Cao,Trung bình,Trung bình,22,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.449906221807823
Thấp,Cao,Trung bình,Cao,23,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.20728261271859
