scenario,year,A,K,L,D,AI,H,GDP_forecast,GDP_growth_pct,budget_K,budget_D,budget_AI,budget_H,cyber_risk,emission_index,unemployment_risk,welfare_score
S1. Truyền thống,2026,35.33258456779954,27500.0,53.9,20.3,86.0,30.076,13471.233460985797,,700.0,100.0,100.0,100.0,18.0,0.40700000000000003,0.0,-3.66105
S1. Truyền thống,2027,35.78004418628155,26825.0,54.2234,18.964000000000002,77.39999999999999,30.10448,13360.227934768343,-0.8240190220066945,700.0,100.0,100.0,100.0,18.0,0.40700000000000003,0.0,-3.9906576088026777
S1. Truyền thống,2028,36.2318799170382,26183.75,54.5487404,17.788320000000002,70.08999999999999,30.1323904,13264.451365189494,-0.716878260209941,700.0,100.0,100.0,100.0,18.0,0.40700000000000003,0.0,-3.9478013040839763
S1. Truyền thống,2029,36.68830400510316,25574.5625,54.8760328424,16.753721600000002,63.876499999999986,30.159742591999997,13183.88590535001,-0.6073787571110323,700.0,100.0,100.0,100.0,18.0,0.40700000000000003,0.0,-3.904001502844413
S1. Truyền thống,2030,37.14951018478837,24995.834375,55.2052890394544,15.843275008,58.595024999999985,30.186547740159995,13118.422035405692,-0.49654457277843456,700.0,100.0,100.0,100.0,18.0,0.40700000000000003,0.0,-3.8596678291113737
S2. Số hóa nhanh,2026,35.33258456779954,27500.0,53.9,20.3,86.0,30.076,13471.233460985797,,250.0,450.0,150.0,150.0,48.0,0.31050000000000005,0.0,-9.646575000000002
S2. Số hóa nhanh,2027,35.78015089068694,26375.0,54.2234,19.314,77.55,30.14448,13313.505688702282,-1.1708487774360954,250.0,450.0,150.0,150.0,48.0,0.31050000000000005,0.0,-10.11491451097444
S2. Số hóa nhanh,2028,36.23219161522953,25306.25,54.5487404,18.44632,70.36749999999999,30.211590400000002,13170.499811149639,-1.074141408704976,250.0,450.0,150.0,150.0,48.0,0.31050000000000005,0.0,-10.076231563481993
S2. Số hóa nhanh,2029,36.688911613055225,24290.9375,54.8760328424,17.6827616,64.26237499999999,30.277358592000002,13041.93365779059,-0.9761676109680262,250.0,450.0,150.0,150.0,48.0,0.31050000000000005,0.0,-10.037042044387213
S2. Số hóa nhanh,2030,37.150498168841224,23326.390625,55.2052890394544,17.010830207999998,59.073018749999996,30.341811420160003,12927.448306543447,-0.8778249778839786,250.0,450.0,150.0,150.0,48.0,0.31050000000000005,0.0,-9.997704991153594
S3. AI dẫn dắt,2026,35.33258456779954,27500.0,53.9,20.3,86.0,30.076,13471.233460985797,,200.0,200.0,450.0,150.0,96.50000000000001,0.454,28.999999999999993,-26.618100000000005
S3. AI dẫn dắt,2027,35.78022508911453,26325.0,54.2234,19.064,78.44999999999999,30.14448,13300.147320297792,-1.2700109547020277,200.0,200.0,450.0,150.0,96.50000000000001,0.454,28.999999999999993,-27.126104381880815
S3. AI dẫn dắt,2028,36.23240414713257,25208.75,54.5487404,17.97632,72.03249999999998,30.211590400000002,13144.47301322464,-1.1704705468605803,200.0,200.0,450.0,150.0,96.50000000000001,0.454,28.999999999999993,-27.086288218744237
S3. AI dẫn dắt,2029,36.68931810935492,24148.3125,54.8760328424,17.0191616,66.57762499999998,30.277358592000002,13003.832181573222,-1.0699617360842129,200.0,200.0,450.0,150.0,96.50000000000001,0.454,28.999999999999993,-27.046084694433688
S3. AI dẫn dắt,2030,37.15114708735857,23140.896875,55.2052890394544,16.176862208,61.940981249999986,30.341811420160003,12877.75501332336,-0.9695385674733381,200.0,200.0,450.0,150.0,96.50000000000001,0.454,28.999999999999993,-27.00591542698934
S4. Bao trùm số,2026,35.33258456779954,27500.0,53.9,20.3,86.0,30.076,13471.233460985797,,300.0,200.0,100.0,400.0,0.0,0.24700000000000003,0.0,-0.03705
S4. Bao trùm số,2027,35.78013322439466,26425.0,54.2234,19.064,77.39999999999999,30.34448,13308.576152631706,-1.2074418339283133,300.0,200.0,100.0,400.0,0.0,0.24700000000000003,0.0,-0.5200267335713253
S4. Bao trùm số,2028,36.23214646128261,25403.75,54.5487404,17.97632,70.08999999999999,30.607590400000003,13161.049909641113,-1.1085050819761855,300.0,200.0,100.0,400.0,0.0,0.24700000000000003,0.0,-0.4804520327904742
S4. Bao trùm số,2029,36.688836162899435,24433.5625,54.8760328424,17.0191616,63.876499999999986,30.865438592000004,13028.502211935174,-1.0071210018650634,300.0,200.0,100.0,400.0,0.0,0.24700000000000003,0.0,-0.4398984007460254
S4. Bao trùm số,2030,37.150395895159384,23511.884374999998,55.2052890394544,16.176862208,58.595024999999985,31.118129820160004,12910.689062635098,-0.9042723974222455,300.0,200.0,100.0,400.0,0.0,0.24700000000000003,0.0,-0.39875895896889824
S5. Tối ưu cân bằng,2026,35.33258456779954,27500.0,53.9,20.3,86.0,30.076,13471.233460985797,,50.0,363.59999999999997,118.3,468.1,0.0,0.180396,0.0,-0.0270594
S5. Tối ưu cân bằng,2027,35.7801910652489,26175.0,54.2234,19.227600000000002,77.4549,30.39896,13280.67738587599,-1.4145406629740287,50.0,363.59999999999997,118.3,468.1,0.0,0.180396,0.0,-0.5928756651896114
S5. Tối ưu cân bằng,2028,36.23231647494434,24916.25,54.5487404,18.283888000000005,70.191565,30.7154608,13104.17282969396,-1.3290327823921255,50.0,363.59999999999997,118.3,468.1,0.0,0.180396,0.0,-0.5586725129568502
S5. Tối ưu cân bằng,2029,36.689169626647576,23720.4375,54.8760328424,17.453421440000007,64.01773025,31.025631584,12941.41107637214,-1.2420604904798238,50.0,363.59999999999997,118.3,468.1,0.0,0.180396,0.0,-0.5238835961919295
S5. Tối ưu cân bằng,2030,37.150941435867665,22584.415624999998,55.2052890394544,16.722610867200004,58.7699707125,31.329598952319998,12791.996162186446,-1.154548861047222,50.0,363.59999999999997,118.3,468.1,0.0,0.180396,0.0,-0.48887894441888885
